Segment,Miles,ElevationDiff,Distance,DistanceFt,Grade,Speed,Category,Gender
Fisherman's Wharf,1.4-2.0,7,0.6,3168,0.22,5:44,Fastest,M
Chrissy Field,4.9-5.5,164,0.6,3168,5.18,6:43,Fastest,M
Lincon uphill,9.3-10.1,270,0.8,4224,6.39,5:57,Fastest,M
Lincoln downhill,10.1-11.1,-214,1,5280,-4.05,5:29,Fastest,M
27th Ave uphill,11.1-12.7,139,1.6,8448,1.65,6:02,Fastest,M
GGP downhill,12.7-14.2,-108,1.5,7920,-1.36,5:47,Fastest,M
GGP uphill,14.2-16.7,170,2.5,13200,1.29,5:59,Fastest,M
Haight/15th downhill,19.8-21.4,-154,1.6,8448,-1.82,6:02,Fastest,M
Fisherman's Wharf,1.4-2.0,7,0.6,3168,0.22,13:08,Slowest,M
Chrissy Field,4.9-5.5,164,0.6,3168,5.18,17:20,Slowest,M
Lincon uphill,9.3-10.1,270,0.8,4224,6.39,15:24,Slowest,M
Lincoln downhill,10.1-11.1,-214,1,5280,-4.05,15:45,Slowest,M
27th Ave uphill,11.1-12.7,139,1.6,8448,1.65,16:23,Slowest,M
GGP downhill,12.7-14.2,-108,1.5,7920,-1.36,15:08,Slowest,M
GGP uphill,14.2-16.7,170,2.5,13200,1.29,18:01,Slowest,M
Haight/15th downhill,19.8-21.4,-154,1.6,8448,-1.82,19:37,Slowest,M
Fisherman's Wharf,1.4-2.0,7,0.6,3168,0.22,8:36,Average,M
Chrissy Field,4.9-5.5,164,0.6,3168,5.18,9:46,Average,M
Lincon uphill,9.3-10.1,270,0.8,4224,6.39,9:08,Average,M
Lincoln downhill,10.1-11.1,-214,1,5280,-4.05,8:14,Average,M
27th Ave uphill,11.1-12.7,139,1.6,8448,1.65,9:11,Average,M
GGP downhill,12.7-14.2,-108,1.5,7920,-1.36,8:52,Average,M
GGP uphill,14.2-16.7,170,2.5,13200,1.29,9:22,Average,M
Haight/15th downhill,19.8-21.4,-154,1.6,8448,-1.82,8:47,Average,M
Fisherman's Wharf,1.4-2.0,7,0.6,3168,0.22,6:43,Fastest,F
Chrissy Field,4.9-5.5,164,0.6,3168,5.18,7:22,Fastest,F
Lincon uphill,9.3-10.1,270,0.8,4224,6.39,6:45,Fastest,F
Lincoln downhill,10.1-11.1,-214,1,5280,-4.05,5:59,Fastest,F
27th Ave uphill,11.1-12.7,139,1.6,8448,1.65,6:59,Fastest,F
GGP downhill,12.7-14.2,-108,1.5,7920,-1.36,6:20,Fastest,F
GGP uphill,14.2-16.7,170,2.5,13200,1.29,6:36,Fastest,F
Haight/15th downhill,19.8-21.4,-154,1.6,8448,-1.82,6:16,Fastest,F
Fisherman's Wharf,1.4-2.0,7,0.6,3168,0.22,13:16,Slowest,F
Chrissy Field,4.9-5.5,164,0.6,3168,5.18,17:50,Slowest,F
Lincon uphill,9.3-10.1,270,0.8,4224,6.39,14:48,Slowest,F
Lincoln downhill,10.1-11.1,-214,1,5280,-4.05,12:50,Slowest,F
27th Ave uphill,11.1-12.7,139,1.6,8448,1.65,14:37,Slowest,F
GGP downhill,12.7-14.2,-108,1.5,7920,-1.36,13:53,Slowest,F
GGP uphill,14.2-16.7,170,2.5,13200,1.29,15:47,Slowest,F
Haight/15th downhill,19.8-21.4,-154,1.6,8448,-1.82,14:04,Slowest,F
Fisherman's Wharf,1.4-2.0,7,0.6,3168,0.22,9:32,Average,F
Chrissy Field,4.9-5.5,164,0.6,3168,5.18,11:07,Average,F
Lincon uphill,9.3-10.1,270,0.8,4224,6.39,10:23,Average,F
Lincoln downhill,10.1-11.1,-214,1,5280,-4.05,9:13,Average,F
27th Ave uphill,11.1-12.7,139,1.6,8448,1.65,10:08,Average,F
GGP downhill,12.7-14.2,-108,1.5,7920,-1.36,9:53,Average,F
GGP uphill,14.2-16.7,170,2.5,13200,1.29,10:27,Average,F
Haight/15th downhill,19.8-21.4,-154,1.6,8448,-1.82,9:20,Average,F
